name,latitude,longitude
"Boston Pizza",43.8532199,-79.2553947
"Kelsey's",43.8536635,-79.255509
"Al Dente Italian Restaurant",43.8753737,-79.2600166
"Inspire",43.8792163,-79.2613436
"Main's Mansion Restaurant & Bar",43.8790713,-79.2613006
"M.Y. Restaurant",43.8749256,-79.2592236
"East Side Mario's",43.8665429,-79.2887624
"Swiss Chalet",43.8666846,-79.2880572
"Pizza Hut",43.8659151,-79.2878196
"Kelsey's",43.8501162,-79.3542712
"Peter's Dining Steak & Seafood",43.870829,-79.2682576
"Ithaca Restaurant",43.8683837,-79.2826437
"TERRA Restaurant & Catering",43.8279252,-79.4266125
"Symposium Cafe Restaurant Thornhill",43.8272249,-79.4263398
"Philoxenia",43.8277798,-79.4266248
"Wimpy's Diner",43.8253983,-79.4260958
"Pizza Hut",43.8206476,-79.3882029
"Ferovia Ristorante",43.8131911,-79.3985682
"Sam's Congee Delight",43.8223313,-79.3516464
"St. Louis Bar & Grill",43.8542807,-79.3369639
"Cho Sun Ok",43.806778,-79.421747
"Gold Mark Chinese Restaurant",43.8264756,-79.3511125
"Wild Wing",43.8321611,-79.4055091
"Babu Catering",43.8932022,-79.2914213
"Kim Dinh Vietnamese Cuisine",43.8925045,-79.2916921
"Golden Palace Banquet Hall",43.8485567,-79.3501301
"Bingz Crispy Burger",43.8482552,-79.3493463
"Yunshang Rice Noodle",43.848243,-79.3494948
"Kaka All You Can Eat",43.8484912,-79.348531
"A La Kitchen",43.8478335,-79.3481823
"Panto's Italian Cuisine",43.823588,-79.424792
"Royal Orchard Thai Cuisine",43.82355,-79.42499
"Eggsmart",43.823796,-79.425763
"Chinese Gourmet",43.825486,-79.425368
"Akbar Joojeh",43.825504,-79.425296
"Yorokobi Japanese Restaurant",43.816809,-79.424253
"Legend Chinese Restaurant",43.804785,-79.420483
"Paramount Fine Foods",43.805766,-79.42105
"Lobster Royale",43.805853,-79.421082
"Bombay Bhel",43.8436444,-79.3774199
"Baton Rouge",43.8439732,-79.3777391
"Nogi Sushi",43.8421997,-79.3903523
"Kitchen ALA",43.8477692,-79.3482166
"Pho Dac Biet Vietnamese Restaurant",43.8590338,-79.3036163
"Hana Don",43.8704699,-79.3614629
"Congee Queen Resturant",43.8685152,-79.2822405
"All Stars Steak House",43.868591,-79.2819173
"Phoenix Restaurant",43.8765411,-79.2862039
"Kitchen M.",43.8680106,-79.2837996
"Mandarin",43.8297127,-79.3537269
"Chef 88 Fine Dining 百樂軒海鮮酒家",43.8331438,-79.3056653
"Swiss Chalet",43.88568,-79.3730026
"Metro Square Café Restaurant",43.8184455,-79.3310269
"Fishmen Wharf Seafood",43.8226464,-79.3134484
"SHoomSHoom",43.8134496,-79.3988087
"Congee Queen",43.8435807,-79.3781167
