name,address
"Pho Com Vietnam",""
"Yummy Yok",""
"Sunrise Caribbean Restaurant",""
"Pho Chay 88",""
"Viet Hoa",""
"Pizza Studio","105, The Pond Road, Toronto, ON, M3J 0K9"
"Sakura Japanese Foods",""
"Smoke and Mirrors Gastropub",""
"Plus Istanbul",""
"Aster Garden Restaurant",""
"The Spice Room",""
"Pizza Hut","10, Jacob Keffer Parkway, Maple, Ontario"
"La Bella Italia","9300, Keele Street"
"Eupin Chinese Cuisine",""
"Villa Panini",""
"Sen Sushi Japanese Restaurant",""
"WaffleU",""
"Pho Mi Viet Thai Restaurant",""
"Red Rooster",""
"Picollo Pease",""
"Farro Ristorante",""
"Big Bone BBQ",""
"Maple Garden Chinese Restaurant","10065, Keele Street, Maple, Ontario"
"9baci",""
"Eggsmart","190, McNaughton Road, Maple, Ontario, L6A 4E2"
"Caribbean Heat",""
"Slam Grill Restaurant & Bar","3685, Keele Street, North York, M3J 3H6"
"Encore Hakka",""
"Piccola Citta",""
"Willy's Jerk","3889, Keele Street, North York, ON, M3J 1N6"
"Panchita’s Kitchen and Bakery","1300, Finch Avenue West, North York, ON, M3J 3K2"
"Pho Nobu Restaurant",""
"Pho Lien Hung",""
"J's Bar & Restaurant",""
"Tender Shawarma & Grill",""
"Thai Bamboo",""
"Sunnyside Grill","2777, Steeles Avenue West, North York"
"Beijing Sung","2150, Steeles Avenue West, Vaughan"
"Tatiana Restaurant and Banquet Hall","2180, Steeles Avenue West, Vaughan, L4K 2Z5"
"Mimino Restaurant",""
"Tin Tin Congee","4205, Keele Street, North York, ON, M3J 3T8"
"Genij Sushi",""
"Sandra's Italian Kitchen",""
"Pho Linh","2100, Tandem Road"
"Royal Jade",""
"Caspi",""
"Suliko Restaurant",""
"Lena's Roti & Doubles","4207, Keele street"
"Bosphorus","4205, Keele Street, North York, M3J 3T8"
"Vizavi","2150, Steeles Avenue West, Vaughan, Ontario"
"Top Gun Burger",""
"The Chef Upstairs",""
"Hank Daddy's Barbeque","7777, Keele Street, Concord, Ontario"
"Mandi Kebab Grill",""
"Kotsy's",""
"Aragvi Restaurant",""
"Sushi Land",""
"Park Place Restaurant",""
"Dante's Pizzeria",""
"Mr. Nick's Grill",""
"Levetto","9001, Dufferin Street, Thornhill, Ontario, L4J 0H7"
"Mister Laffa Shawarma","9001, Dufferin Street, Thornhill, Ontario, L4J 0H7"
"Taigi Japan House","1430, Major MacKenzie Drive West, Maple, Ontario, L6A 4H6"
"My Roti Place","1430, Major MacKenzie Drive West, Maple, Ontario, L6A 4H6"
"Sunset Grill","1430, Major MacKenzie Drive West, Maple, Ontario, L6A 4H6"
"Sarko","1480, Major MacKenzie Drive West, Maple, Ontario, L6A 4H6"
"Chuck's Roadhouse","1480, Major MacKenzie Drive West, Maple, Ontario, L6A 4H6"
"VRolls","1490, Major MacKenzie Drive West, Maple, Ontario, L6A 4H6"
"Opa!","1450, Major MacKenzie Drive West, Maple, Ontario, L6A 4H6"
"Ginza","9960, Dufferin Street, Maple, Ontario, L6A 4K5"
"Ristoronte Don Vincenzo",""
