name,street_address,city,province,postcode,latitude,longitude,cuisine,phone,website,email,opening_hours,wheelchair,smoking,internet_access,operator,delivery,takeaway
"Pho Com Vietnam","","","","","43.7562693","-79.5189115","vietnamese","","","","","","","","","",""
"Yummy Yok","","","","","43.7562393","-79.5181659","chinese","","","","","","","","","",""
"Sunrise Caribbean Restaurant","","","","","43.7561995","-79.5179433","caribbean","","","","","","","","","",""
"Pho Chay 88","","","","","43.7516126","-79.5153494","vietnamese","","","","","","","","","",""
"Viet Hoa","","","","","43.7520789","-79.5154542","vietnamese","","","","","","","","","",""
"Pizza Studio","105 The Pond Road","Toronto","ON","M3J 0K9","43.769471","-79.5019642","pizza","","","","","","","","","",""
"Sakura Japanese Foods","","","","","43.7744422","-79.5016572","sushi","+1 647-881-9747","","","Mo-Fr 11:00-23:00; Sa-Su 11:00-21:00","yes","","","","",""
"Smoke and Mirrors Gastropub","","","","","43.7963891","-79.5168641","","","","","","","","","","",""
"Plus Istanbul","","","","","43.7954814","-79.5168475","","","","","","","","","","",""
"Aster Garden Restaurant","","","","","43.8202456","-79.5036553","canadian-chinese;chinese","","","","","","","","","",""
"The Spice Room","","","","","43.8223935","-79.5041818","indian","","","","","","","","","",""
"Pizza Hut","10 Jacob Keffer Parkway","Maple","Ontario","","43.8361543","-79.5063555","pizza","","","","","","","","","",""
"La Bella Italia","9300 Keele Street","","","","43.8379125","-79.50922","italian","","","","","","","","","",""
"Eupin Chinese Cuisine","","","","","43.8356404","-79.5094007","chinese","","","","","","","","","",""
"Villa Panini","","","","","43.8544279","-79.5155287","italian","","","","","","","","","",""
"Sen Sushi Japanese Restaurant","","","","","43.8544601","-79.515362","sushi","","","","","","","","","",""
"WaffleU","","","","","43.8543616","-79.5158016","","","","","","","","","","",""
"Pho Mi Viet Thai Restaurant","","","","","43.8542698","-79.5162975","vietnamese;thai","","","","","","","","","",""
"Red Rooster","","","","","43.8542621","-79.5164135","portuguese","","","","","","","","","",""
"Picollo Pease","","","","","43.8546929","-79.5152963","italian","","","","","","","","","",""
"Farro Ristorante","","","","","43.8546196","-79.5146215","italian","","","","","","","","","",""
"Big Bone BBQ","","","","","43.8558313","-79.5135457","barbecue","","","","","","","","","",""
"Maple Garden Chinese Restaurant","10065 Keele Street","Maple","Ontario","","43.856596","-79.512473","canadian-chinese;chinese","+1 905-832-9252","https://www.maplegardenchinesefood.com/","","Tu-Su 11:00-21:00","","","","","yes","yes"
"9baci","","","","","43.8605478","-79.5142232","italian","","","","Tu-Th,Su 11:30-21:30; Fr,Sa 11:30-22:30","","","","","",""
"Eggsmart","190 McNaughton Road","Maple","Ontario","L6A 4E2","43.8627733","-79.5015918","breakfast","+19053032134","https://eggsmart.com","","Mo-Fr 07:00-15:00; Sa-Su 07:00-16:00","","","","","","yes"
"Caribbean Heat","","","","","43.7645627","-79.4897725","caribbean","","","","","","","","","",""
"Slam Grill Restaurant & Bar","3685 Keele Street","North York","","M3J 3H6","43.7539282","-79.4880289","grill","","","","Mo-Fr 10:00-19:00; Sa-Su 09:00-18:00","","","","","",""
"Encore Hakka","","","","","43.7544676","-79.4876512","chinese","","","","","","","","","",""
"Piccola Citta","","","","","43.7538438","-79.4880016","","","","","","","","","","",""
"Willy's Jerk","3889 Keele Street","North York","ON","M3J 1N6","43.7617921","-79.4899577","caribbean","","","","","","","","","",""
"Panchita’s Kitchen and Bakery","1300 Finch Avenue West","North York","ON","M3J 3K2","43.7646236","-79.4893562","","","","","","","","","","",""
"Pho Nobu Restaurant","","","","","43.7633373","-79.4899384","vietnamese","","","","","","","","","",""
"Pho Lien Hung","","","","","43.7644303","-79.4894036","vietnamese","","","","","","","","","",""
"J's Bar & Restaurant","","","","","43.7654914","-79.4894744","","","","","","","","","","",""
"Tender Shawarma & Grill","","","","","43.7619239","-79.4901087","shawarma","","","","","","","","","",""
"Thai Bamboo","","","","","43.7826883","-79.4915911","thai","","","","","","","","","",""
"Sunnyside Grill","2777 Steeles Avenue West","North York","","","43.7821692","-79.4904138","","","","","","","","","","",""
"Beijing Sung","2150 Steeles Avenue West","Vaughan","","","43.7829024","-79.4908056","chinese","","","","","","","","","",""
"Tatiana Restaurant and Banquet Hall","2180 Steeles Avenue West","Vaughan","","L4K 2Z5","43.7823836","-79.4937091","","+1-905-761-1028","http://tatianabanquethall.com/","","","","","","","",""
"Mimino Restaurant","","","","","43.7823333","-79.4935348","georgian","","","","","","","","","",""
"Tin Tin Congee","4205 Keele Street","North York","ON","M3J 3T8","43.7739262","-79.4922161","chinese","","","","","","","","","",""
"Genij Sushi","","","","","43.7818353","-79.4917545","sushi","","","","","","","","","",""
"Sandra's Italian Kitchen","","","","","43.7818864","-79.4914356","italian","","","","","","","","","",""
"Pho Linh","2100 Tandem Road","","","","43.7831792","-79.489828","vietnamese","","","","","","","","","",""
"Royal Jade","","","","","43.7831469","-79.4899374","chinese","","","","","","","","","",""
"Caspi","","","","","43.7822788","-79.4893552","italian","","","","","","","","","",""
"Suliko Restaurant","","","","","43.7856836","-79.4807216","georgian","","","","","","","","","",""
"Lena's Roti & Doubles","4207 Keele street","","","","43.7734268","-79.4930207","","+14167927575","","","Mo-Fr 10:00-22:00; Sa, Su 09:00-22:00","","","","","",""
"Bosphorus","4205 Keele Street","North York","","M3J 3T8","43.7734613","-79.4920327","turkish","","","","","","","","","","yes"
"Vizavi","2150 Steeles Avenue West","Vaughan","Ontario","","43.7833446","-79.4909596","european;russian","+1-905-760-3929","https://vizavirestaurant.com/","","","","","","","",""
"Top Gun Burger","","","","","43.7965184","-79.4978303","","","","","","","","","","","yes"
"The Chef Upstairs","","","","","43.8078595","-79.4839554","","","","","","","","","","",""
"Hank Daddy's Barbeque","7777 Keele Street","Concord","Ontario","","43.8019275","-79.4990713","barbecue","","","","","","","","","",""
"Mandi Kebab Grill","","","","","43.802092","-79.4953802","chinese","","","","","","","","","",""
"Kotsy's","","","","","43.8022032","-79.4946284","breakfast","","","","","","","","","",""
"Aragvi Restaurant","","","","","43.8024437","-79.4919313","georgian","","","","","","","","","",""
"Sushi Land","","","","","43.7964438","-79.4977548","sushi","","","","","","","","","",""
"Park Place Restaurant","","","","","43.8286258","-79.4811697","","","","","","","","","","",""
"Dante's Pizzeria","","","","","43.8278532","-79.4805587","pizza","","","","","","","","","",""
"Mr. Nick's Grill","","","","","43.8215984","-79.4915738","canadian","","","","","","","","","",""
"Levetto","9001 Dufferin Street","Thornhill","Ontario","L4J 0H7","43.8364329","-79.4808357","italian","+1-905-553-6400","https://levetto.com/","info@levetto.com","Mo-Th 11:00-21:00, Fr-Sa 11:00-21:30, Su 11:00-21:00","","no","","","yes",""
"Mister Laffa Shawarma","9001 Dufferin Street","Thornhill","Ontario","L4J 0H7","43.8364392","-79.4807568","shawarma;middle_eastern","+1 9057649191","https://misterlaffa.com/","hello@misterlaffa.com","Mo-Fr 11:00-21:00, Sa 12:00-21:00","","","","","",""
"Taigi Japan House","1430 Major MacKenzie Drive West","Maple","Ontario","L6A 4H6","43.8621588","-79.4856477","japanese","","","","","","","","","",""
"My Roti Place","1430 Major MacKenzie Drive West","Maple","Ontario","L6A 4H6","43.8622516","-79.4861224","indian","","","","","","","","","",""
"Sunset Grill","1430 Major MacKenzie Drive West","Maple","Ontario","L6A 4H6","43.8622922","-79.4863397","american","","","","","","","","","",""
"Sarko","1480 Major MacKenzie Drive West","Maple","Ontario","L6A 4H6","43.8628685","-79.4872999","","","","","","","","","","",""
"Chuck's Roadhouse","1480 Major MacKenzie Drive West","Maple","Ontario","L6A 4H6","43.8631867","-79.4874027","burger;steak_house","","","","","","","","","",""
"VRolls","1490 Major MacKenzie Drive West","Maple","Ontario","L6A 4H6","43.8633561","-79.4870667","thai;vietnamese","","","","","","","","","",""
"Opa!","1450 Major MacKenzie Drive West","Maple","Ontario","L6A 4H6","43.8627894","-79.4856141","greek","","","","","","","","","",""
"Ginza","9960 Dufferin Street","Maple","Ontario","L6A 4K5","43.8595607","-79.4888948","sushi","","","","","","","","","",""
"Ristoronte Don Vincenzo","","","","","43.854542","-79.4863246","italian","","","","","","","","","",""
"Halibut House","1840 Major MacKenzie Drive West","Maple","Ontario","L6A 4R9","43.8601303","-79.4998872","fish_and_chips","+19053030988","","","Mo-Su 08:00-21:00","","","","","",""
"Golden Griddle","","","","","43.7677199","-79.473959","","","","","","","","","","",""
"Mr. Greek","","","","","43.7688531","-79.4691016","greek","","","","","","","","","",""
"St. Louis Bar & Grill","","","","","43.7678673","-79.4673671","chicken","","","","","","","","","",""
"Boston Pizza","","","","","43.7578966","-79.4659762","pizza","","","","","","","","","",""
"Cafe Saggio","","","","","43.7584054","-79.4766671","italian","","","","","","","","","",""
"Taj Restaurant","1110 Finch Avenue West","North York","ON","M3J 2T2","43.7688859","-79.4743447","","","","","","","","","","",""
"Sunset Grill","1123 Lodestar Road","North York","ON","M3J 0G9","43.7597587","-79.4653904","american","","","","","","","","","",""
"Don Franchesko","1048 Finch Avenue West","North York","ON","M3J 2P7","43.768359","-79.4719232","pizza","","","","","","","","","",""
"Mandarin","","","","","43.7672425","-79.4696408","chinese","","","","","","","","","",""
"Village House Turkish Restaurant","","","","","43.7675966","-79.4699163","","","","","","","","","","",""
"Joong Wha Ru","","","","","43.767546","-79.4707607","korean","","","","","","","","","",""
"L&P Village Green Jamaican Restaurant","1027 Finch Avenue West","Toronto","ON","","43.7674399","-79.4697966","jamaican","","","","","","","","","",""
"Pita Ikram","1118 Finch Avenue West","Toronto","ON","M3J 3J4","43.7676151","-79.4749535","","","","","","","","","","",""
"Wild Wing","","","","","43.7861394","-79.4735347","chicken","","","","","","","","","",""
"Cora","","","","","43.7866352","-79.4685489","breakfast","","","","","","","","","",""
"Thai Room","","","","","43.7861578","-79.4695064","thai","","","","","","","","","","yes"
"Pho Plus","","","","","43.7863594","-79.4686895","vietnamese","","","","","","","","","","yes"
"Max's of Manila","","","","","43.7883939","-79.4710188","filipino","","","","","","","","","",""
"Freshii","2215 Steeles Avenue West","North York","ON","M3J 3N2","43.7851154","-79.4777815","salad","","","","","","","","","",""
"Raj Mahal","","","","","43.7867225","-79.468576","indian","","","","Mo-Th 11:00-21:30; Fr 11:00-22:00; Sa 12:00-22:00; Su 11:00-21:30","","","","","",""
"Wimpy's Diner","","","","","43.7882923","-79.4714464","diner","","","","","","","","","",""
"168 Sushi Buffet","","","","","43.7874951","-79.4715402","sushi","","","","","","","","","",""
"Pho Mono","","","","","43.7851697","-79.4775545","vietnamese","","","","","","","","","",""
"Moldava Restaurant","","","","","43.7818209","-79.4707407","moldovan","","","","","","","","","",""
"Good Morning Friends","","","","","43.7834613","-79.4709566","breakfast","","","","","","","","","",""
