name,address,longitude,latitude
"Restaurant",,,
"Caterable Italian Cafe","101 Town Centre Blvd, Markham, L3R 8G5, Canada",,
"Merlyn's Unique Caterers","101 Town Centre Blvd, Markham, L3R 8G5, Canada",,
"Gal's Sushi","3621 Hwy 7 #106, Markham, L6G 0B3, Canada",,
"Wuhan Noodle 1950","3621 Hwy 7 Suite 119, Markham, L6G 0B3, Canada",,
"Chilli Chilli Wuhan","3621 Hwy 7 unit121, Markham, L6G 0B3, Canada",,
"Rovey Chinese Catering and Private Dinner","Markham Suites Hotel, Markham, L3R 8G5, Canada",,
"KiKa Sushi","#102-3623hwy7E, Markham, L6G 0B3, Canada",,
"Noodle Nation 喜食米线","3623 Hwy 7 unit 101, Markham, L6G 0B3, Canada",,
"Maki Mart","3623 Hwy 7, Markham, L6G 0B3, Canada",,
"Restaurant",,,
"Caterable Italian Cafe","101 Town Centre Blvd, Markham, L3R 8G5, Canada",,
"Merlyn's Unique Caterers","101 Town Centre Blvd, Markham, L3R 8G5, Canada",,
"Gal's Sushi","3621 Hwy 7 #106, Markham, L6G 0B3, Canada",,
"Wuhan Noodle 1950","3621 Hwy 7 Suite 119, Markham, L6G 0B3, Canada",,
"Chilli Chilli Wuhan","3621 Hwy 7 unit121, Markham, L6G 0B3, Canada",,
"Rovey Chinese Catering and Private Dinner","Markham Suites Hotel, Markham, L3R 8G5, Canada",,
"KiKa Sushi","#102-3623hwy7E, Markham, L6G 0B3, Canada",,
"Noodle Nation 喜食米线","3623 Hwy 7 unit 101, Markham, L6G 0B3, Canada",,
"Maki Mart","3623 Hwy 7, Markham, L6G 0B3, Canada",,
"Restaurant",,,
"Caterable Italian Cafe","101 Town Centre Blvd, Markham, L3R 8G5, Canada",,
"Merlyn's Unique Caterers","101 Town Centre Blvd, Markham, L3R 8G5, Canada",,
"Gal's Sushi","3621 Hwy 7 #106, Markham, L6G 0B3, Canada",,
"Wuhan Noodle 1950","3621 Hwy 7 Suite 119, Markham, L6G 0B3, Canada",,
"Chilli Chilli Wuhan","3621 Hwy 7 unit121, Markham, L6G 0B3, Canada",,
"Rovey Chinese Catering and Private Dinner","Markham Suites Hotel, Markham, L3R 8G5, Canada",,
"KiKa Sushi","#102-3623hwy7E, Markham, L6G 0B3, Canada",,
"Noodle Nation 喜食米线","3623 Hwy 7 unit 101, Markham, L6G 0B3, Canada",,
"Maki Mart","3623 Hwy 7, Markham, L6G 0B3, Canada",,
"Restaurant",,,
"Caterable Italian Cafe","101 Town Centre Blvd, Markham, L3R 8G5, Canada",,
"Merlyn's Unique Caterers","101 Town Centre Blvd, Markham, L3R 8G5, Canada",,
"Gal's Sushi","3621 Hwy 7 #106, Markham, L6G 0B3, Canada",,
"Wuhan Noodle 1950","3621 Hwy 7 Suite 119, Markham, L6G 0B3, Canada",,
"Chilli Chilli Wuhan","3621 Hwy 7 unit121, Markham, L6G 0B3, Canada",,
"Rovey Chinese Catering and Private Dinner","Markham Suites Hotel, Markham, L3R 8G5, Canada",,
"KiKa Sushi","#102-3623hwy7E, Markham, L6G 0B3, Canada",,
"Noodle Nation 喜食米线","3623 Hwy 7 unit 101, Markham, L6G 0B3, Canada",,
"Maki Mart","3623 Hwy 7, Markham, L6G 0B3, Canada",,
"Restaurant",,,
"Caterable Italian Cafe","101 Town Centre Blvd, Markham, L3R 8G5, Canada",,
"Merlyn's Unique Caterers","101 Town Centre Blvd, Markham, L3R 8G5, Canada",,
"Gal's Sushi","3621 Hwy 7 #106, Markham, L6G 0B3, Canada",,
"Wuhan Noodle 1950","3621 Hwy 7 Suite 119, Markham, L6G 0B3, Canada",,
